signal_GHz,gain_dB
2.0181180662934537,1.1011572555503673
2.061306060236916,0.9912488443434837
2.090098108621697,0.9912488443434837
2.1180903473049035,1.0700511322109105
2.160078705329715,1.1986229999398552
2.1872711867338186,1.204844333348554
2.2152634254170254,1.1364107532609444
2.2712479552059133,0.9829538237492256
2.294041614307533,0.9953964905666209
2.3160355161300528,1.0596824244310932
2.368021154678483,1.2857203084015425
2.406010621462834,1.3458588678948937
2.428004523285354,1.3126790573698779
2.476391149232878,1.113599650515746
2.500384496675627,1.0182075933118193
2.531175990680637,0.9829538237492256
2.552370082801579,1.028576301091637
2.5923590476286362,1.250466810690965
2.6311482716920898,1.4951681511834753
2.6591405103752965,1.6009291880192378
2.6803346549187133,1.6175189573557376
2.7011289208225797,1.5739704390509024
2.720323567323293,1.4910207768123545
2.741117833227162,1.3624486372313935
2.8062997814156194,0.9933225315290432
2.82709399489701,0.9891751571579224
2.8430896122813154,1.0451660704281367
2.8622842587820294,1.1737382100090976
2.8902764974652357,1.4516196328786402
2.942262136013666,2.0032351042466043
2.9802516027980195,2.2292729882170534
3.000246059000308,2.2417153831824304
3.0162416239621415,2.194019490506478
3.0382355257846614,2.050931268774577
3.055430779087621,1.88088429807434
3.139407547559715,0.9891751571579224
3.1514042212810884,0.9871014699723627
3.164200652281564,1.0534610910223945
3.177397014344066,1.1903282511976137
3.2001906734456886,1.609224208613496
3.3061613437403,3.9131518384748416
3.3233565970432597,4.043797393389346
3.3361530280437357,4.06660876798656
3.3481497017651116,4.0168389162730245
3.3613460638276136,3.8903404638776267
3.375342183169215,3.6477128105706775
3.4021347859337707,2.8866492245687616
3.4561198176799546,0.9871014699723627
3.460118708920412,0.9829538237492256
3.462118154540641,0.9974701777521803
3.470115937021556,1.1778855843802183
3.4821126107429325,1.8580731953291434
3.5093050921470357,4.572601762012109
3.565289569513449,10.868483246363702
3.643268001124857,17.346854096380913
3.7424405248572072,23.04964555009729
3.836414521430446,27.008419322210504
3.896397890037316,29.032391842016747
3.9663785391678092,31.023184551297973
4.063151738640379,33.260752288257265
4.127133998487707,34.46559662160582
4.234304304700973,36.10177930733563
4.330277746894444,37.229895040002326
4.404257287265391,37.916303712507926
4.478236775213865,38.46791918387589
4.541419277782095,38.84326662298694
4.621397155013728,39.21031904150373
4.692177509000846,39.44879932043955
4.761358400852236,39.6064036243224
4.833338443180482,39.70801701493502
4.9185148475712275,39.751565533239855
